vin_1_10,county,state,model_year,make,ev_type,electric_range
1G1RB6E43C,CLARK,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RE6E42C,PIERCE,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RD6E47C,CLARK,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RH6E41C,MASON,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RF6E43C,SPOKANE,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RB6E44C,CLARK,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RH6E44C,KING,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RE6E47C,YAKIMA,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RH6E47C,BENTON,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RB6E4XC,CHELAN,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RH6E45C,CLARK,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RA6E48C,PIERCE,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RE6E43C,KING,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RA6E42C,CLARK,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RB6E47C,ISLAND,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
1G1RB6E48C,CLARK,WA,2012,CHEVROLET,PLUG-IN HYBRID ELECTRIC VEHICLE (PHEV),35
